,round,steps,score
0,1295,400,31
0,1296,400,13
0,1297,400,9
0,1298,110,50
0,1299,400,14
0,1300,118,50
0,1301,400,47
0,1302,400,33
0,1303,400,46
0,1304,289,50
0,1305,400,40
0,1306,400,5
0,1307,400,49
0,1308,115,50
0,1309,400,39
0,1310,303,50
0,1311,400,43
0,1312,134,50
0,1313,400,8
0,1314,400,44
0,1315,399,50
0,1316,400,39
0,1317,400,24
0,1318,247,50
0,1319,135,50
0,1320,400,10
0,1321,400,23
0,1322,400,38
0,1323,400,27
0,1324,297,50
0,1325,400,48
0,1326,400,43
0,1327,400,28
0,1328,400,24
0,1329,400,40
0,1330,400,21
0,1331,400,10
0,1332,400,41
0,1333,400,49
0,1334,400,32
0,1335,400,44
0,1336,400,35
0,1337,400,37
0,1338,400,40
0,1339,400,43
0,1340,400,18
0,1341,115,50
0,1342,282,50
0,1343,123,50
0,1344,400,48
0,1345,400,20
0,1346,155,50
0,1347,400,8
0,1348,317,50
0,1349,175,50
0,1350,263,50
0,1351,400,34
0,1352,400,48
0,1353,153,50
0,1354,137,50
0,1355,400,43
0,1356,400,44
0,1357,148,50
0,1358,153,50
0,1359,400,38
0,1360,400,15
0,1361,400,27
0,1362,400,32
0,1363,400,21
0,1364,400,39
0,1365,137,50
0,1366,400,20
0,1367,400,33
0,1368,400,42
0,1369,400,43
0,1370,400,41
0,1371,127,50
0,1372,400,34
0,1373,400,42
0,1374,400,13
0,1375,333,50
0,1376,116,50
0,1377,141,50
0,1378,400,6
0,1379,400,41
0,1380,400,46
0,1381,253,50
0,1382,400,48
0,1383,400,30
0,1384,400,39
0,1385,127,50
0,1386,400,42
0,1387,400,7
0,1388,400,31
0,1389,400,38
0,1390,400,30
0,1391,312,50
0,1392,135,50
0,1393,323,50
0,1394,400,43
0,1395,400,48
0,1396,400,14
0,1397,400,37
0,1398,400,38
0,1399,400,48
0,1400,134,50
0,1401,400,45
0,1402,400,16
0,1403,400,36
0,1404,400,33
0,1405,400,23
0,1406,400,10
0,1407,400,34
0,1408,121,50
0,1409,400,11
0,1410,400,8
0,1411,400,47
0,1412,400,47
0,1413,340,50
0,1414,400,30
0,1415,227,50
0,1416,194,50
0,1417,400,12
0,1418,400,26
0,1419,400,38
0,1420,120,50
0,1421,400,29
0,1422,121,50
0,1423,140,50
0,1424,400,16
0,1425,125,50
0,1426,400,22
0,1427,400,46
0,1428,400,24
0,1429,400,23
0,1430,400,27
0,1431,400,28
0,1432,400,49
0,1433,123,50
0,1434,313,50
0,1435,400,47
0,1436,400,15
0,1437,400,49
0,1438,400,8
0,1439,115,50
0,1440,400,20
0,1441,139,50
0,1442,139,50
0,1443,140,50
0,1444,351,50
0,1445,400,33
0,1446,400,23
0,1447,134,50
0,1448,131,50
0,1449,400,31
0,1450,400,36
0,1451,400,30
0,1452,129,50
0,1453,135,50
0,1454,400,28
0,1455,187,50
0,1456,400,6
0,1457,400,46
0,1458,400,45
0,1459,400,43
0,1460,400,21
0,1461,400,43
0,1462,400,24
0,1463,400,15
0,1464,400,40
0,1465,400,49
0,1466,400,46
0,1467,133,50
0,1468,400,30
0,1469,400,40
0,1470,400,18
0,1471,400,35
0,1472,400,14
0,1473,400,35
0,1474,131,50
0,1475,247,50
0,1476,146,50
0,1477,400,34
0,1478,122,50
0,1479,400,48
0,1480,400,7
0,1481,400,28
0,1482,400,45
0,1483,400,34
0,1484,400,5
0,1485,400,46
0,1486,112,50
0,1487,400,42
0,1488,400,13
0,1489,400,13
0,1490,400,36
0,1491,337,50
0,1492,400,20
0,1493,149,50
0,1494,400,34
0,1495,137,50
0,1496,125,50
0,1497,138,50
0,1498,400,29
0,1499,400,37
0,1500,130,50
0,1501,400,39
0,1502,123,50
0,1503,116,50
0,1504,400,15
0,1505,400,15
0,1506,400,5
0,1507,400,47
0,1508,139,50
0,1509,400,31
0,1510,400,13
0,1511,400,33
0,1512,400,7
0,1513,400,38
0,1514,130,50
0,1515,400,44
0,1516,121,50
0,1517,400,48
0,1518,134,50
0,1519,400,8
0,1520,400,42
0,1521,400,11
0,1522,400,33
0,1523,400,48
0,1524,400,33
0,1525,258,50
0,1526,400,28
0,1527,400,7
0,1528,142,50
0,1529,400,28
0,1530,400,28
0,1531,400,7
0,1532,400,47
0,1533,400,30
0,1534,400,46
0,1535,400,8
0,1536,308,50
0,1537,400,35
0,1538,400,18
0,1539,400,26
0,1540,311,50
0,1541,400,30
0,1542,113,50
0,1543,400,37
0,1544,400,38
0,1545,400,38
0,1546,400,18
0,1547,400,29
0,1548,137,50
0,1549,400,20
0,1550,400,49
0,1551,400,37
0,1552,400,49
0,1553,400,16
0,1554,121,50
0,1555,400,39
0,1556,400,7
0,1557,400,35
0,1558,400,35
0,1559,400,22
0,1560,400,33
0,1561,400,31
0,1562,130,50
0,1563,117,50
0,1564,400,36
0,1565,400,47
0,1566,233,50
0,1567,400,31
0,1568,400,48
0,1569,400,7
0,1570,131,50
0,1571,149,50
0,1572,400,41
0,1573,121,50
0,1574,400,14
0,1575,400,46
0,1576,400,27
0,1577,196,50
0,1578,400,42
0,1579,400,35
0,1580,400,17
0,1581,400,17
0,1582,400,35
0,1583,400,33
0,1584,400,34
0,1585,400,24
0,1586,400,15
0,1587,400,36
0,1588,400,46
0,1589,170,50
0,1590,400,39
0,1591,215,50
0,1592,230,50
0,1593,400,14
0,1594,400,16
0,1595,400,21
0,1596,400,28
0,1597,400,46
0,1598,149,50
0,1599,400,13
0,1600,400,2
0,1601,400,28
0,1602,136,50
0,1603,124,50
0,1604,400,36
0,1605,125,50
0,1606,400,41
0,1607,400,19
0,1608,127,50
0,1609,400,4
0,1610,377,50
0,1611,400,38
0,1612,400,15
0,1613,400,40
0,1614,139,50
0,1615,140,50
0,1616,400,28
0,1617,297,50
0,1618,400,24
0,1619,400,49
0,1620,400,38
0,1621,124,50
0,1622,133,50
0,1623,400,41
0,1624,400,44
0,1625,117,50
0,1626,400,35
0,1627,400,11
0,1628,400,49
0,1629,400,46
0,1630,400,29
0,1631,400,49
0,1632,400,43
0,1633,129,50
0,1634,142,50
0,1635,400,33
0,1636,400,20
0,1637,400,34
0,1638,120,50
0,1639,400,15
0,1640,400,31
0,1641,400,32
0,1642,400,15
0,1643,216,50
0,1644,129,50
0,1645,400,19
0,1646,139,50
0,1647,400,48
0,1648,400,33
0,1649,400,13
0,1650,400,30
0,1651,400,24
0,1652,400,12
0,1653,400,20
0,1654,358,50
0,1655,121,50
0,1656,141,50
0,1657,400,37
0,1658,400,20
0,1659,174,50
0,1660,127,50
0,1661,122,50
0,1662,400,2
0,1663,400,47
