,round,steps,score
0,697,188,50
0,698,222,50
0,699,147,48
0,700,169,42
0,701,190,45
0,702,168,50
0,703,98,30
0,704,211,48
0,705,101,26
0,706,46,18
0,707,26,12
0,708,4,0
0,709,222,50
0,710,27,5
0,711,145,38
0,712,246,50
0,713,195,50
0,714,106,27
0,715,31,8
0,716,24,7
0,717,105,32
0,718,175,50
0,719,323,50
0,720,14,5
0,721,24,6
0,722,134,40
0,723,29,9
0,724,200,32
0,725,20,4
0,726,150,37
0,727,222,50
0,728,57,19
0,729,7,1
0,730,178,50
0,731,176,46
0,732,210,50
0,733,163,33
0,734,69,22
0,735,30,10
0,736,190,50
0,737,5,0
0,738,48,15
0,739,187,50
0,740,266,49
0,741,80,26
0,742,95,25
0,743,102,26
0,744,158,50
0,745,31,9
0,746,48,17
0,747,278,50
0,748,32,10
0,749,73,15
0,750,6,1
0,751,23,10
0,752,155,43
0,753,228,50
0,754,114,41
0,755,132,38
0,756,95,35
0,757,175,50
0,758,217,50
0,759,223,45
0,760,10,2
0,761,14,5
0,762,191,50
0,763,244,48
0,764,133,29
0,765,85,19
0,766,215,50
0,767,318,50
0,768,209,50
0,769,83,24
0,770,80,16
0,771,71,21
0,772,400,41
0,773,179,48
0,774,254,50
0,775,80,25
0,776,245,50
0,777,114,35
0,778,248,44
0,779,158,50
0,780,187,50
0,781,178,11
0,782,209,50
0,783,191,41
0,784,4,1
0,785,22,7
0,786,43,13
0,787,36,9
0,788,133,40
0,789,51,14
0,790,56,17
0,791,210,50
0,792,20,5
0,793,72,26
0,794,43,11
0,795,48,14
0,796,12,3
0,797,193,45
0,798,65,18
0,799,123,29
0,800,109,36
0,801,274,49
0,802,80,29
0,803,115,35
0,804,22,5
0,805,131,34
0,806,138,40
0,807,148,33
0,808,13,4
0,809,152,37
0,810,196,50
0,811,7,0
0,812,158,44
0,813,8,3
0,814,85,25
0,815,300,50
0,816,169,50
0,817,4,1
0,818,32,11
0,819,117,28
0,820,136,41
0,821,202,50
0,822,289,50
0,823,174,50
0,824,188,43
0,825,170,50
0,826,220,50
0,827,16,6
0,828,8,3
0,829,135,29
0,830,122,40
0,831,27,13
0,832,150,32
0,833,93,34
0,834,4,1
0,835,172,50
0,836,49,11
0,837,68,17
0,838,10,4
0,839,179,41
0,840,12,3
0,841,185,50
0,842,179,40
0,843,207,50
0,844,143,36
0,845,116,36
0,846,202,48
0,847,64,19
0,848,209,50
0,849,44,18
0,850,179,44
0,851,163,47
0,852,253,46
0,853,194,50
0,854,94,34
0,855,196,50
0,856,233,50
0,857,25,10
0,858,165,49
0,859,89,30
0,860,25,8
0,861,68,15
0,862,211,50
0,863,61,23
0,864,115,35
0,865,121,15
0,866,103,42
0,867,212,50
0,868,165,46
0,869,186,50
0,870,207,50
0,871,127,37
0,872,107,40
0,873,237,50
0,874,205,48
0,875,220,36
0,876,56,19
0,877,77,25
0,878,69,17
0,879,34,14
0,880,166,50
0,881,52,19
0,882,197,50
0,883,80,18
0,884,34,10
0,885,179,47
0,886,154,41
0,887,111,38
0,888,93,32
0,889,175,50
0,890,4,1
0,891,110,32
0,892,77,24
0,893,51,13
0,894,360,48
0,895,182,50
0,896,116,28
0,897,24,6
0,898,57,17
0,899,69,18
0,900,90,27
0,901,181,48
0,902,329,49
0,903,155,37
0,904,8,1
0,905,68,20
0,906,55,14
0,907,250,50
0,908,260,50
0,909,97,33
0,910,141,41
0,911,52,21
0,912,80,23
0,913,45,16
0,914,43,16
0,915,5,1
0,916,171,50
0,917,129,43
0,918,210,50
0,919,121,39
0,920,191,50
0,921,233,49
0,922,267,50
0,923,42,3
0,924,152,44
0,925,13,2
0,926,75,19
0,927,133,39
0,928,167,43
0,929,140,32
0,930,64,22
0,931,160,45
0,932,51,17
0,933,158,41
0,934,249,47
0,935,13,3
0,936,6,0
0,937,94,24
0,938,211,50
0,939,163,48
0,940,11,3
0,941,114,34
0,942,178,41
0,943,226,50
0,944,88,33
0,945,238,45
0,946,155,36
0,947,17,5
0,948,257,49
0,949,153,42
0,950,187,44
0,951,178,50
0,952,302,50
0,953,65,20
0,954,209,40
0,955,55,14
0,956,61,24
0,957,329,47
0,958,71,27
0,959,79,22
0,960,85,18
0,961,101,30
0,962,118,30
0,963,215,48
0,964,16,7
0,965,187,50
0,966,193,50
0,967,192,50
0,968,165,48
0,969,13,3
0,970,19,3
0,971,263,50
0,972,131,38
0,973,127,36
0,974,190,50
0,975,241,50
0,976,63,21
0,977,30,9
0,978,210,45
